What do you think the laundry service management can improve?  
includ cash weekli machin cleanup updat timer accur includ proper refund process autom includ laundri basket insert peopl laundri long
number washer dryer especi washer technic problem washer work payment add option pay cash student t pay e wallet bank servic especi intern student usual live midsem break make sure floor hygen walk shoe clean
add atleast machin
chang better washer dryer s
improv servic qualiti
add machin
provid separ laundri room block
add machin dryer wash machin
add min total wash machin
mayb add laundri servic build got machin peopl use
add machin
add machin mayb
think good idea includ bakul peopl cloth add bakul caus major cloth time
add cash seamless refund procedur
add machin
add machin
want extraa
improv cleanli
more machin
add dryer wash machin
wash machin
wash machin servic fast repair need
tha payment
think add addit dryer wash machin
payment
check dryer
machin mayb payment
dryer
make cashless payment easi use
addit machin
overal good improv cleanli
heat dri properli
make timer accur
add machin
add cash payment dont money account cadh
machin
clean place regularli
add wash machin dri machin
repair upgrad machin
add higher level heat caus current heat doesn t hot decentrum
add machin plss updat timer wait long finish
mainten regularli
add differ size kg kg like decentrum
updat timer
place qr better locat make clear
updat timer add differ size machin
clean area frequent
uniten realli add machin
add differ kg machin big laundri differ machin occupi
add sapu mop clean
add cash payment instead qr code
rennovt time rennov don t know chang ig payment method chang
add wash machin dryer
add fan hot wait got fan slow
updat timer
regular mainten
think better uniten add machin make queue virtual
make dryer heater heat
better just add addit machin
machin regular mainten real time avail updat consist suppli
fix broken machin faster add machin track avail onlin
